category,equipment_required,muscle,name
Strength,Machine,Chest,Butterfly
Strength,Dumbbell,Chest,One Arm Dumbbell Bench Press
Strength,Other,Lats,Gironda Sternum Chins
Strength,Cable,Middle Back,Seated One-arm Cable Pulley Rows
Strength,Dumbbell,Triceps,Dumbbell One-Arm Triceps Extension
Olympic Weightlifting,Barbell,Quadriceps,Hang Clean - Below the Knees
Powerlifting,Barbell,Lower Back,Rack Pull with Bands
Strength,Machine,Chest,Leverage Chest Press
Strength,Cable,Abdominals,Bosu Ball Cable Crunch With Side Bends
Strength,Body Only,Chest,Incline Push-Up Wide
Plyometrics,None,Quadriceps,Jumping Jacks
Strength,Other,Neck,Lying Face Up Plate Neck Resistance
Strength,Dumbbell,Chest,Straight-Arm Dumbbell Pullover
Strength,Machine,Quadriceps,Hack Squat
Strength,Barbell,Traps,Barbell Shrug
Strength,Body Only,Quadriceps,Freehand Jump Squat
Strength,Body Only,Abdominals,Tuck Crunch
Strength,Dumbbell,Triceps,Lying Dumbbell Tricep Extension
Strength,Cable,Shoulders,Cable Rope Rear-Delt Rows
Strength,Dumbbell,Shoulders,Dumbbell Raise
Strength,Barbell,Quadriceps,Weighted Sissy Squat
Strength,Dumbbell,Forearms,Seated Dumbbell Palms-Down Wrist Curl
Stretching,Body Only,Hamstrings,Front Leg Raises
Cardio,Other,Quadriceps,Skating
Strength,Cable,Shoulders,Face Pull
Powerlifting,Machine,Hamstrings,Glute Ham Raise
Strength,Bands,Triceps,Band Skull Crusher
Strength,Body Only,Chest,Isometric Wipers
Strength,Cable,Abdominals,Pallof Press
Cardio,Body Only,Quadriceps,Jog In Place
Strength,Dumbbell,Middle Back,Man Maker
Strength,Dumbbell,Forearms,Palms-Down Dumbbell Wrist Curl Over A Bench
Strength,Dumbbell,Chest,Incline Dumbbell Bench With Palms Facing In
Strength,Body Only,Abdominals,Flat Bench Lying Leg Raise
Strength,Body Only,Abdominals,Seated Flat Bench Leg Pull-In
Strength,Exercise Ball,Abdominals,Exercise Ball Crunch
Strength,Body Only,Abdominals,Russian Twist
Strength,Other,Lats,Side To Side Chins
Strength,Dumbbell,Triceps,One Arm Pronated Dumbbell Triceps Extension
Strength,Dumbbell,Triceps,One Arm Supinated Dumbbell Triceps Extension
Strength,Dumbbell,Shoulders,Seated Bent-Over Rear Delt Raise
Stretching,None,Shoulders,Side Wrist Pull
Strength,Kettlebells,Shoulders,One-Arm Kettlebell Clean and Jerk
Cardio,Machine,Quadriceps,"Running, Treadmill"
Strength,Machine,Lats,Leverage Iso Row
Strength,Body Only,Chest,Clock Push-Up
Strength,Machine,Chest,Decline Smith Press
Strength,Cable,Chest,Cable Iron Cross
Strength,Dumbbell,Quadriceps,Plie Dumbbell Squat
Strength,Dumbbell,Chest,Incline Dumbbell Flyes - With A Twist
Strength,Cable,Shoulders,Standing Low-Pulley Deltoid Raise
Strength,Body Only,Abdominals,Oblique Crunches
Strength,Machine,Biceps,Machine Preacher Curls
Strength,Other,Forearms,Plate Pinch
Strength,Barbell,Triceps,Reverse Triceps Bench Press
Strength,Barbell,Shoulders,Upright Barbell Row
Strength,Dumbbell,Shoulders,Seated Side Lateral Raise
Strength,Dumbbell,Forearms,Seated One-Arm Dumbbell Palms-Down Wrist Curl
Strength,Kettlebells,Abdominals,Advanced Kettlebell Windmill
Strength,Kettlebells,Forearms,Bottoms-Up Clean From The Hang Position
Powerlifting,Barbell,Lower Back,Rack Pulls
Olympic Weightlifting,Barbell,Quadriceps,Split Jerk
Powerlifting,Other,Triceps,Chain Handle Extension
Powerlifting,Bands,Hamstrings,Band Good Morning (Pull Through)
Strength,Machine,Chest,Leverage Decline Chest Press
Plyometrics,None,Hamstrings,Linear Acceleration Wall Drill
Plyometrics,Dumbbell,Quadriceps,Dumbbell Seated Box Jump
Strength,Body Only,Chest,Push-Up Wide
Strength,Barbell,Abdominals,Barbell Rollout from Bench
